"review","rating","sentiment","review_processed","document_no","dominant_topic","Label","topic_perc_contrib","keywords","Text"
"Keselll Padahal saya pengguna baru tapi kok pas mau ambil yang khusus pengguna baru katanya ""anda bukan pengguna baru"" Padahal saya belum pernah donlod sebelumnya",1,0,keselll pas ambil donlod,130,0,3,0.8399,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['keselll', 'pas', 'ambil', 'donlod']"
"Disini banyak toko penipuan, dan sangatlah merugikan pelanggan.",1,0,toko tipu rugi langgan,201,0,0,0.837,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['toko', 'tipu', 'rugi', 'langgan']"
Hai kak saya mau nanya emang bayar nya lewat ATM ya soalnya saya masih pelajar dan umur saya masih dibawah umur jadi blm megang ATM ada si punya nyokap Tapi ga bgt pake ATM nyokap,3,1,nanya bayar atm ajar umur umur megang atm pake atm,615,0,0,0.8362,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['bertanya', 'bayar', 'atm', 'ajar', 'umur', 'umur', 'megang', 'atm', 'pakai', 'atm']"
"hati hati buat kalian,pihak lazada tidak mengontrol seller mereka,banyak penipuan yang buka lapak di lazada ini, kalau pihak lazada tidak mengontrol penipuan ini maka banyak yang akan takut beli online",1,0,hati hati kontrol seller tipu kontrol tipu takut beli online,444,0,0,0.8354,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['hati', 'hati', 'kontrol', 'seller', 'tipu', 'kontrol', 'tipu', 'takut', 'beli', 'online']"
Kecewa atas. Kebijakan menonaktifkan akun. Pdahal akun Saya habis kena Hack. Saya merasakan Kerugian. Terus mlaah harus akun di nonaktifkan .. Saya mengalami kerugian besar atas kebijakan Menonaktifkan Akun . Seharusnya Akun yang Menipu saya yang kena Non aktif. Bukan mlaah akun saya yang di nonaktifkan..,1,0,bijak nonaktif akun pdahal akun habis hack rugi mlaah akun nonaktif alami rugi bijak nonaktif akun akun tipu non aktif mlaah akun nonaktif,137,0,0,0.8299,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['bijak', 'nonaktif', 'akun', 'pdahal', 'akun', 'habis', 'hack', 'rugi', 'mlaah', 'akun', 'nonaktif', 'alami', 'rugi', 'bijak', 'nonaktif', 'akun', 'akun', 'tipu', 'non', 'aktif', 'mlaah', 'akun', 'nonaktif']"
Maaf knapa pas daftar ribet bgt y padahal akun baru pake no baru imel baru knapa masukny akun lama,3,1,maaf pas daftar ribet akun pake no imel masukny akun,694,0,0,0.8285,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['maaf', 'pas', 'daftar', 'ribet', 'akun', 'pakai', 'no', 'imel', 'masukny', 'akun']"
Ini namamya game anjing gw lagi download lagu malah ke toko pedia ngeselin banget nengtot pemilik nya siapa gw ga takut sma pemilik nya,1,0,namamya game download lagu toko ngeselin nengtot milik takut sma milik,168,0,0,0.828,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['namamya', 'game', 'unduh', 'lagu', 'toko', 'ngeselin', 'nengtot', 'milik', 'takut', 'sama', 'milik']"
"akun lazada bisa di bajak apa yah!? saya ngga pesen paket kenapa tiba"" ada yang ngirim paket mengatas namakan akun saya . ngga bagus banget ni applikasi",1,0,akun bajak sen paket ngirim paket nama akun applikasi,232,0,0,0.8196,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['akun', 'bajak', 'sen', 'paket', 'ngirim', 'paket', 'nama', 'akun', 'aplikasi']"
"Jangan mau download tokped, penipu! S3 marketing biar banyak yg download, gua udah berhasil dapet hadiah uang, pas di download gaada apa apa!",1,0,download tipu marketing download hasil hadiah uang pas download,161,0,0,0.8158,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['unduh', 'tipu', 'marketing', 'unduh', 'hasil', 'hadiah', 'uang', 'pas', 'unduh']"
kecewa pakai bukalapak salah menulis email terus mau ganti emailnya aja susah persyaratannya ribet,1,0,pakai salah tulis email ganti email susah syarat ribet,367,0,0,0.8103,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['pakai', 'salah', 'tulis', 'email', 'ganti', 'email', 'susah', 'syarat', 'ribet']"
Sy sdah donlod dan ajk 1 org .orgnya sdh donlod tp hadiah gk bs d tarik .hufffff...,1,0,sdah donlod ajk org orgnya donlod hadiah tarik hufffff,48,0,0,0.8095,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['sdah', 'donlod', 'ajk', 'orang', 'orgnya', 'donlod', 'hadiah', 'tarik', 'hufffff']"
Shope q udah 4 hari ini gk bisa dibuka katanya suruh hpus chace udah tetep ak gk bisa trys suruh uninstal juga udah tp tetep sama gk bisal blnja lihat notivikasi bisa tp yg lain gk bisa kebuka semuanya pdhl data lancar,1,0,shope suruh hpus chace tetep trys suruh uninstal tetep bisal blnja notivikasi pdhl data lancar,61,0,3,0.8078,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['shope', 'suruh', 'hapus', 'chace', 'tetep', 'trys', 'suruh', 'uninstal', 'tetep', 'bisal', 'blnja', 'notivikasi', 'pdhl', 'data', 'lancar']"
"Saya baru bli barang trs tiba� keluar ehh pas mau cek di suruh daftar akun lgi, ini udh saya uninstall dan saya install lgi semoga bisa, klo ga bisa aku turunin bintang nya klo bisa aku tambahin sampe 5 bintang",2,0,barang trs ehh pas cek suruh daftar akun uninstall install turunin bintang tambahin sampe bintang,416,0,3,0.8019,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['barang', 'terus', 'ehh', 'pas', 'cek', 'suruh', 'daftar', 'akun', 'uninstall', 'install', 'turun', 'bintang', 'tambahin', 'sampai', 'bintang']"
Lazada mulai banyak toko2 penipu lagi Saya 3x ketipu berturut2,1,0,toko tipu tipu,56,0,0,0.8,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['toko', 'tipu', 'tipu']"
kena tipuuu. flashsale palsuuu,1,0,tipuuu flashsale palsuuu,369,0,0,0.7999,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['tipuuu', 'flashsale', 'palsuuu']"
Kenapa g bisa diupdate ya shopeenya? Udah berapa kali tetep g bisa,2,0,diupdate shopeenya tetep,129,0,3,0.7996,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['diupdate', 'shopeenya', 'tetep']"
Payah susah melakukan pembayaran Dengan menggunakan saldo di tokped,1,0,susah bayar saldo,31,0,0,0.7995,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['susah', 'bayar', 'saldo']"
Agak susah untuk sistem pembayaran...,3,1,susah sistem bayar,751,0,0,0.7995,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['susah', 'sistem', 'bayar']"
Gmn cara download fitur nya?,3,1,gmn download fitur,584,0,0,0.7978,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['gmn', 'unduh', 'fitur']"
Jelek uang saya ilang jangan beli disini,1,0,uang ilang beli,98,0,0,0.7963,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['uang', 'hilang', 'beli']"
"Ahhh bermasalah terus nih aplikasi, jadi sering komplen yg ga bisa buka toko, ga bisa buat transfer pake shoppe pay",3,1,ahhh aplikasi komplen toko transfer pake shoppe pay,725,0,0,0.7953,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['ahhh', 'aplikasi', 'komplen', 'toko', 'transfer', 'pakai', 'shoppe', 'bayar']"
Di bukalapak ada MALING BERKEDOK ASURANSI..lebih baik komplen ke pelapak langsung kalo ada masalah dari pada wajib asuransi..nguntungin malimg aja,5,2,maling kedok asuransi komplen wajib asuransi nguntungin malimg,840,0,0,0.7898,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['maling', 'kedok', 'asuransi', 'komplen', 'wajib', 'asuransi', 'nguntungin', 'malimg']"
"Kepada pihak Tokopedia saya mau nanya nih, Saya tadi kan jam 6 lewat ada SMS masuk dari pihak Tokopedia katanya saya mendapatkan hadiah sebesar 15 juta dengan syarat saya harus isi pulsa Rp300.000 dan harus fotokopi nomor rekening saya dan Apa betul dari pihak Tokopedia kah",1,0,nanya jam sms hadiah juta syarat isi pulsa rp fotokopi nomor rekening kah,45,0,1,0.7867,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['bertanya', 'jam', 'sms', 'hadiah', 'juta', 'syarat', 'isi', 'pulsa', 'rp', 'fotokopi', 'nomor', 'rekening', 'kah']"
"setelah update saya tidak mendapat notifikasi transaksi berhasil atau tidak, padahal sudah transfer, yg ada di notifikasi cuma tulisan terjadi kendala, tolong ulangi beberapa saat lagi.",2,0,update notifikasi transaksi hasil transfer notifikasi tulis kendala tolong ulang,418,0,0,0.7757,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['update', 'notifikasi', 'transaksi', 'hasil', 'transfer', 'notifikasi', 'tulis', 'kendala', 'tolong', 'ulang']"
"Aplikasi yang makin lama makin buruk dan menuai haters. Saya cuma pake 1 akun gak ada tuh saya pake akun lain. Transaksi pulsa saya 3x digagalkan. Dengan alasan saya melanggar aturan karena menggunakan kode yg sama. Lah!! Orang tokped sendiri yang bikin kode cuma itu2 ajah, gak ada variasi lain...ya pengguna pake kode itu. Masa salahku! Alhasil saldo mengendap...kalau gak niat ngadain promo gak usah lah.",1,0,aplikasi tuai haters pake akun pake akun transaksi pulsa gagal alas langgar atur kode bikin kode variasi pake kode salah alhasil saldo endap niat ngadain promo,432,0,0,0.7717,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['aplikasi', 'tuai', 'haters', 'pakai', 'akun', 'pakai', 'akun', 'transaksi', 'pulsa', 'gagal', 'alas', 'langgar', 'atur', 'kode', 'bikin', 'kode', 'variasi', 'pakai', 'kode', 'salah', 'alhasil', 'saldo', 'endap', 'niat', 'ngadain', 'promo']"
"Tokopedia loadingnya lambat banget..bahkan gak bisa kebuka sama sekali. Tolong servernya diperbarui. Saya donlot toko sebelah cepet koq, gak ada masalah",3,1,loadingnya tolong servernya donlot toko belah cepet,716,0,0,0.7663,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['loadingnya', 'tolong', 'servernya', 'donlot', 'toko', 'belah', 'cepat']"
Maaf kalo bisa oknum yg suka nipu mengatas namakan lazada di tindak merugikan konsumen,3,1,maaf oknum nipu nama tindak rugi konsumen,683,0,0,0.7592,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['maaf', 'oknum', 'tipu', 'nama', 'tindak', 'rugi', 'konsumen']"
Sering bermasalah di penarikan dana Shopepay.. Nunggu sampe berhari hari Perbaiki kualitas mu ??????,1,0,tari dana shopepay nunggu sampe kualitas mu,260,0,1,0.7556,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['tari', 'dana', 'shopepay', 'tunggu', 'sampai', 'kualitas', 'mu']"
"PARAH! MINTA RESEND VOUCHER KE NOMOR AKTIF AJA GAK DIGUBRIS. LAGIAN MAIN UBAH SNK AJA, BIASANYA JUGA KIRIM KE EMAIL!! 750 RIBU TUH WOY MELAYANG!!!",1,0,resend voucher nomor aktif gubris main ubah snk kirim email ribu layang,104,0,1,0.7554,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['resend', 'voucher', 'nomor', 'aktif', 'gubris', 'main', 'ubah', 'snk', 'kirim', 'email', 'ribu', 'layang']"
Bnyk seller penipu.pesen apa dikirim nya apa..narik refund nya pun susah nya setngah mati,1,0,bnyk seller tipu sen kirim narik refund susah setngah mati,122,0,4,0.75,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['banyak', 'seller', 'tipu', 'sen', 'kirim', 'narik', 'refund', 'susah', 'setngah', 'mati']"
Transaksi tokopedia saya belom muncul di aplikasi tokopedia. Itu gimana caranya biar muncul kak,3,1,transaksi bom muncul aplikasi muncul,588,0,,0.5512,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['transaksi', 'bom', 'muncul', 'aplikasi', 'muncul']"
"Applikasi gak bnr ini, belanja pesanan udah bayar di batalkan, alasan cs jd.id katanya code unik 3digitnya salah, pdhl code uniknya saya copy/paste dr app jd.id. Kembalikan duit saya jangan pake alasan yang gak masuk akal.",1,0,applikasi bnr belanja pesan bayar batal alas cs code unik digit salah pdhl code unik copy paste app duit pake alas akal,236,0,,0.7462,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['aplikasi', 'bnr', 'belanja', 'pesan', 'bayar', 'batal', 'alas', 'customer service', 'code', 'unik', 'digit', 'salah', 'pdhl', 'code', 'unik', 'copy', 'paste', 'aplikasi', 'duit', 'pakai', 'alas', 'akal']"
"Saya mau ganti no hp karena no hp sdh tidak aktif, tapi keteranganya no hp sdh banyak digunakan itu gimana ya?, terus saya ikut pelatihan dan sudah menyelesaikan pelatihan tapi sampai sekarang insentif belum cair mohon infonya, saya tulis disini karena agak ribet menghubungi tokopedia care",3,1,ganti no hp no hp aktif keteranganya no hp latih latih insentif cair info tulis ribet hubung care,765,0,,0.7454,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['ganti', 'no', 'handphone', 'no', 'handphone', 'aktif', 'keteranganya', 'no', 'handphone', 'latih', 'latih', 'insentif', 'cair', 'informasi', 'tulis', 'ribet', 'hubung', 'care']"
Awalnya aku suka.. tapi karena sistem keamanan shopee yg kurang akun saya disalah gunakan oleh oknum yg tidak bertanggung jawab karena itu saya mengalami kerugian yg sangat besar sampai 7juta dan shopee tidak mau membantu apapun.. saya sangat kecewa..,1,0,sistem aman akun salah oknum tanggung alami rugi juta bantu,446,0,,0.7452,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['sistem', 'aman', 'akun', 'salah', 'oknum', 'tanggung', 'alami', 'rugi', 'juta', 'bantu']"
Aku ngak pencet apa apa tapi kok langung ke playsors sih kan jadinya sebelum apalagi pas main game iklan jadinya harus login lagi yang lama lagi kan jadinya udah ngak mut lagi main game,2,0,pencet langung playsors pas main game iklan login mut main game,274,0,,0.7451,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['pencet', 'langung', 'playsors', 'pas', 'main', 'game', 'iklan', 'login', 'mut', 'main', 'game']"
Aku dapat hadia klaim 1 juta betul ka ini dari toko pedia atau penipuan,3,1,hadia klaim juta ka toko tipu,543,0,,0.7429,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['hadia', 'klaim', 'juta', 'kakak', 'toko', 'tipu']"
"Spaylaterku tak bisa di gunakan, pdhal smua sudah lunas & bayar tepat wktu ?? Menjengkel kan ??",1,0,spaylaterku pdhal lunas bayar wktu jengkel,46,0,,0.7428,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['spaylaterku', 'pdhal', 'lunas', 'bayar', 'wktu', 'jengkel']"
"Saya lg kesel sama spaylater, nggak bisa muncul. Gimana mau bayar kalo error terus?",3,1,lg kesel spaylater muncul bayar error,663,0,,0.7421,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['lagi', 'kesel', 'spaylater', 'muncul', 'bayar', 'error']"
Bisa isi saldo gak bisa buat pesen barang gimana sih eror eror mulu,1,0,isi saldo sen barang eror eror mulu,32,0,,0.7391,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['isi', 'saldo', 'sen', 'barang', 'eror', 'eror', 'melulu']"
"Ini apk bagus banget, apalagi buat para seller curang. Aman gakan kena ciduk meski buyer punya banyak bukti. Apalagi CS nya bisa banget kerja sama biar buyer kapok komplain ke CS & dana refund jg gak usah dikembaliin cash, cetek beuh pake voucher aja (pake kadaluarsa penggunaan, klo buyer gk pake VC ini hangus = duit jadi milik lazada). Toh yg rajin bayar rating kan seller bukan buyer. ?????? kecewa",1,0,apk seller curang aman gakan ciduk buyer bukti cs buyer kapok komplain cs dana refund jg dikembaliin cash cetek beuh pake voucher pake kadaluarsa buyer pake vc hangus duit milik rajin bayar rating seller buyer,200,0,,0.7388,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['aplikasi', 'seller', 'curang', 'aman', 'gakan', 'ciduk', 'buyer', 'bukti', 'customer service', 'buyer', 'kapok', 'komplain', 'customer service', 'dana', 'refund', 'juga', 'dikembaliin', 'cash', 'cetek', 'beuh', 'pakai', 'voucher', 'pakai', 'kadaluarsa', 'buyer', 'pakai', 'vc', 'hangus', 'duit', 'milik', 'rajin', 'bayar', 'rating', 'seller', 'buyer']"
Aku turun bintangnya soalnya VOC gak bisa dipake knpa sihh!!!,2,0,turun bintang voc dipake knpa sihh,65,0,,0.7354,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['turun', 'bintang', 'voc', 'dipake', 'kenapa', 'sihh']"
"Halo kak saya sudah mengisi ulasan kok di bilang belom ya kak. Bagaimana nih kelanjutan prakerja saya. Udah pembelian nya ilang juga di topup&tagihan. Tolong tindak lanjutnya dong kak, TERIMAKASIH!",5,2,isi ulas bilang bom beli ilang topup tagih tolong tindak,954,0,,0.7347,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['isi', 'ulas', 'bilang', 'bom', 'beli', 'hilang', 'topup', 'tagih', 'tolong', 'tindak']"
Tokony suka nipu,1,0,tokony nipu,186,0,,0.7333,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['tokony', 'tipu']"
Kenapa dompetdibekukan... Menyusahkan aja... Nih min... Bantuanya,1,0,dompetdibekukan susah bantuanya,276,0,,0.7333,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['dompetdibekukan', 'susah', 'bantuanya']"
CS HARUS AKTIF BIAR ENAK,1,0,cs aktif,384,0,,0.7333,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['customer service', 'aktif']"
Sering logout sendiri heran dah ??,3,1,logout heran,660,0,,0.7333,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['logout', 'heran']"
Ini semua bohong hadiahnya,3,1,bohong hadiah,787,0,,0.7333,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['bohong', 'hadiah']"
Habis diupgrade shopee tidak bisa dibuka.,3,1,habis diupgrade,515,0,,0.733,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['habis', 'diupgrade']"
Order sering gagal karena belum tahu caranya,5,2,order gagal,862,0,,0.7305,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['order', 'gagal']"
Baru aja download langsung eror,3,1,download eror,698,0,,0.7302,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['unduh', 'eror']"
Mantul mas bro rugi kalo gak download ?????????????????? ??????????????????,5,2,rugi download,981,0,,0.7299,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['rugi', 'unduh']"
Maaf kasih bintang 1 dulu karena saya sudah login akan tetapi kendala server terus itu kenapa ya?? Padahal saya pake tokopedia terus :(,1,0,maaf bintang login kendala server pake,202,0,,0.7253,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['maaf', 'bintang', 'login', 'kendala', 'server', 'pakai']"
Buka lapak masih banyak oknum penipuan mohon di tindaklanjuti saya tertipu oleh agen penyedia jasa top up dompet digitall,1,0,oknum tipu tindaklanjuti tipu agen sedia jasa up dompet digitall,128,0,,0.7241,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['oknum', 'tipu', 'tindaklanjuti', 'tipu', 'agen', 'sedia', 'jasa', 'up', 'dompet', 'digitall']"
"Kecewa dengan respon komplen, lama & harus nunggu 1x24 jam untuk dproses, pelanggan pada kabur",1,0,respon komplen nunggu jam dproses langgan kabur,393,0,,0.7208,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['respon', 'komplen', 'tunggu', 'jam', 'dproses', 'langgan', 'kabur']"
Berkali2 sy download tp tdk bs terinstal. Pdhl sy mau beli pulsa pake shopeepay,1,0,download terinstal pdhl beli pulsa pake shopeepay,20,0,,0.7206,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['unduh', 'terinstal', 'pdhl', 'beli', 'pulsa', 'pakai', 'shopeepay']"
"sialan� habis di perbarui malah ga bisa login padahal username sama, apalagi di shopee pay nya masih ada saldonya 10jt lagi????????",1,0,habis login username pay saldo jt,313,0,,0.7191,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['habis', 'login', 'username', 'bayar', 'saldo', 'jt']"
"Licik bnget ni shopee. Nunggu2 dari sore sampe jam 12, pas udah jam 12:00 tiba� ngeleg. Pas kembali dan masuk lagi eh iphone nya udah habis,bikin ngantuk aja.",1,0,licik bnget nunggu sore sampe jam pas jam ngeleg pas iphone habis bikin ngantuk,226,0,,0.7187,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['licik', 'bnget', 'tunggu', 'sore', 'sampai', 'jam', 'pas', 'jam', 'ngeleg', 'pas', 'iphone', 'habis', 'bikin', 'ngantuk']"
Check out ko ggal mulu sblmnya ga gni skrg mau check out gbsa,1,0,check out ggal mulu sblmnya skrg check out gbsa,229,0,,0.7185,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['check', 'out', 'ggal', 'melulu', 'sblmnya', 'sekarang', 'check', 'out', 'gbsa']"
"Ini barusan saya dapat telfon untuk membayar shoope pay, suaranya perempuan apa emang dari pihak shopee nya ya? Padahal saya sudah selesai melunasi shopee pay yg jatuh temponya masih tanggal 5. Tapi masih ditelfon. Tolong buat shopee mungkin bisa jawab. Maksud saya diliat dulu sebelum menelfon, apakah penggunanya udah membayar/belum. Nadanya juga gaenak didengar",3,1,barusan telfon bayar shoope pay suara perempuan lunas pay jatuh tempo ditelfon tolong menelfon bayar nada gaenak dengar,648,0,,0.7133,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['barusan', 'telfon', 'bayar', 'shoope', 'bayar', 'suara', 'perempuan', 'lunas', 'bayar', 'jatuh', 'tempo', 'ditelfon', 'tolong', 'menelfon', 'bayar', 'nada', 'gaenak', 'dengar']"
"Katanya dapet hadiah hp,,,padahal aq blum download toped tpi dpet hadiah hp,,itu beneran apa engga yach",1,0,hadiah hp download tpi dpet hadiah hp beneran engga yach,121,0,,0.7091,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['hadiah', 'handphone', 'unduh', 'tapi', 'dpet', 'hadiah', 'handphone', 'beneran', 'engga', 'yach']"
kenapa ya baru kali ini dan kedua kali nya juga paket saya tidak sampai ke tangan saya tapi keterangan nya SUDAH DITERIMA ATAS NAMA SAYA pengiriman pake SHOPPE EXPRESS tolong dong kejelasan nyaaaa.,3,1,paket tangan terang nama kirim pake shoppe express tolong nyaaaa,470,0,,0.7088,"toko, bayar, tolong, akun, pakai, tipu, shoppe, saldo, bintang, pas","['paket', 'tangan', 'terang', 'nama', 'kirim', 'pakai', 'shoppe', 'express', 'tolong', 'nyaaaa']"
