"review","rating","sentiment","review_processed","document_no","Label","dominant_topic","topic_perc_contrib","keywords","Text"
Mahalll harga toko ya,1,0,mahalll harga toko,385,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mahalll', 'harga', 'toko']"
wlo sering ngadat tp saya suka belanja online jadi gpp lah,3,1,wlo ngadat belanja online,468,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['wlo', 'ngadat', 'belanja', 'online']"
Mana gak ada promo2 yg menarik nurhalimah :!,3,1,promo tarik nurhalimah,483,3,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['promo', 'tarik', 'nurhalimah']"
Menyebalkan??dikit2...siruh uptade terusss,3,1,sebal dikit siruh uptade terusss,488,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['sebal', 'dikit', 'siruh', 'uptade', 'terusss']"
Udah ringan lagi aplikasi nya,3,1,ringan aplikasi,495,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['ringan', 'aplikasi']"
kurir ramah,3,1,kurir ramah,527,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['kurir', 'ramah']"
Solusi cepat,3,1,solusi cepat,598,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['solusi', 'cepat']"
Belanja disini hemat banget,3,1,belanja hemat,606,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'hemat']"
Pelayanan jd.id sangat ramah,3,1,layan ramah,622,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['layan', 'ramah']"
"Coba dulu deh belanja dari, walau udh lama punya aplikasinya. Moga puas!",3,1,belanja aplikasi,648,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'aplikasi']"
nyaman belanja di lazada,5,2,nyaman belanja,668,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['nyaman', 'belanja']"
Mantabb betull promo pengguna barunya ??,5,2,mantabb betull promo,776,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mantabb', 'betull', 'promo']"
kirim yg cepat ya,3,1,kirim cepat,796,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['kirim', 'cepat']"
Semua traksaksi aman dan mudah. Terima kasih buka lapak,5,2,traksaksi aman mudah,817,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['traksaksi', 'aman', 'mudah']"
sangat nyaman dan apk nya sangat bagus tapi harus lebih di tinggkatkan lagi smangat trus,5,2,nyaman apk tinggkatkan smangat,831,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['nyaman', 'aplikasi', 'tinggkatkan', 'smangat']"
Memudahkan saya untuk berbelanja,5,2,mudah belanja,835,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'belanja']"
Sangat murah dan banyak promo,5,2,murah promo,839,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['murah', 'promo']"
Mudah dan nyaman,5,2,mudah nyaman,861,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'nyaman']"
Terima kasih Tokopedia lengkap dan terpercaya,5,2,lengkap percaya,864,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['lengkap', 'percaya']"
Belanja jadi mudah dan banyak promio.,5,2,belanja mudah promio,866,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'mudah', 'promio']"
Sangat mudah bertransaksi dan sangat bermanfaat,5,2,mudah transaksi,878,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'transaksi']"
Mudah dalam bertransaksi,4,2,mudah transaksi,891,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'transaksi']"
belanja mudah,5,2,belanja mudah,901,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'mudah']"
Nyaman banget belanja di sini,5,2,nyaman belanja,908,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['nyaman', 'belanja']"
Pengiriman cepat,5,2,kirim cepat,911,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['kirim', 'cepat']"
Belanja puas dan aman??,5,2,belanja aman,913,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'aman']"
banyak diskon menarik,5,2,diskon tarik,925,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['diskon', 'tarik']"
senang dgn tokopedia dr dulu.mudah menggunakanx dan terpercaya...,5,2,mudah menggunakanx percaya,937,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'menggunakanx', 'percaya']"
Mudah transaksi nya,5,2,mudah transaksi,940,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'transaksi']"
Terima kasih telah memudahkan dalam berbelanja,5,2,mudah belanja,966,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'belanja']"
"Mudah,dan terpercaya.",5,2,mudah percaya,979,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'percaya']"
Belanja jadi mudah,5,2,belanja mudah,983,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'mudah']"
Semoga barang semakin lengkap,5,2,barang lengkap,995,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['barang', 'lengkap']"
sip tingkat kan trus aja promo nya ehehe,5,2,tingkat promo ehehe,997,,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['tingkat', 'promo', 'ehehe']"
Kok ga ada layanan codnya,2,0,layan codnya,100,,0,0.9712,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['layan', 'codnya']"
"Cara dapet layanan shopee pinjem gmana ya min, blz ya",2,0,layan pinjem gmana blz,264,,0,0.9712,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['layan', 'pinjem', 'bagaimana', 'blz']"
kena tipuuu. flashsale palsuuu,1,0,tipuuu flashsale palsuuu,372,,0,0.9712,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['tipuuu', 'flashsale', 'palsuuu']"
kurang bagus sangat mengecewakan pengiriman dengan buka expres,1,0,kirim expres,431,,0,0.9712,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['kirim', 'expres']"
diskon kurang greget,3,1,diskon greget,535,,0,0.9712,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['diskon', 'greget']"
cara transaksix ribet gak seperti bukalapak,3,1,transaksix ribet,726,,0,0.9712,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['transaksix', 'ribet']"
Harga variatif,4,2,harga variatif,869,,0,0.9712,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['harga', 'variatif']"
memudahkan saya bertraksaksi,5,2,mudah bertraksaksi,978,,0,0.9712,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'bertraksaksi']"
sangat puas belanja elektronik disini..dan tidak pernah mengecewakan..pengiriman juga cepat dan barang dijamin ori....,5,2,belanja elektronik kirim cepat barang jamin ori,904,,0,0.8053,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'elektronik', 'kirim', 'cepat', 'barang', 'jamin', 'asli']"
Aku sangat suka shopee disitu murah murah dan in shaa allah gak akan nyesel deh dan pindah ke aplikasi belanja lain terimakasih shopee,1,0,murah murah shaa allah pindah aplikasi belanja,334,,0,0.7994,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['murah', 'murah', 'shaa', 'allah', 'pindah', 'aplikasi', 'belanja']"
Pertama kali nya pesen di shopeee dan suka banget pengiriman nya cepat harga bersahabat?,5,2,sen shopeee kirim cepat harga sahabat,954,,0,0.7966,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['sen', 'shopeee', 'kirim', 'cepat', 'harga', 'sahabat']"
"shoppe online shop no satu, tingkatkan terus kaaa. semoga semakin sukses",3,1,online shop no tingkat kaaa sukses,615,,0,0.7956,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['online', 'shop', 'no', 'tingkat', 'kaaa', 'sukses']"
"Awal"" saya belanja di blibli barang cepat sekali di proses dan barang sampai dgn cepet. Akhir"" ini agak kecewa barang sudah 5 hari tapi belum dikirim jg, tolong ditingkatkan pelayanan nya agar kita bisa puas dan gak pindah ditempat sebelah",3,1,belanja barang cepat proses barang cepet barang kirim jg tolong tingkat layan pindah belah,623,,0,0.7815,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'barang', 'cepat', 'proses', 'barang', 'cepat', 'barang', 'kirim', 'juga', 'tolong', 'tingkat', 'layan', 'pindah', 'belah']"
"Beli barang mudah, murah, proses cepat dan barang sesuai",5,2,beli barang mudah murah proses cepat barang sesuai,899,,0,0.7808,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['beli', 'barang', 'mudah', 'murah', 'proses', 'cepat', 'barang', 'sesuai']"
Aplikasi Blanja Online yg amanah... Kurirnya pun ramah dan profesional...,5,2,aplikasi blanja online amanah kurir ramah profesional,847,,0,0.7807,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'belanja', 'online', 'amanah', 'kurir', 'ramah', 'profesional']"
"Apk Tokopedia ini anti ribet dulu aku sering belanja keluar saat kenal sama Tokopedia,selalu belanja di Tokopedia Kalian semua harus belanja di Tokopedia ??",5,2,apk anti ribet belanja kenal belanja belanja,812,,0,0.7714,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'anti', 'ribet', 'belanja', 'kenal', 'belanja', 'belanja']"
"Berbelanja di Tokopedia ternyata sangat mudah dan bisa dipercaya. Proses mulai belanja, pembayaran, pengiriman hingga barang diterima dapat dipantau dengan jelas. Sebelumnya saya sangat ragu berbelanja secara online. Tapi setelah saya coba, ternyata mudah dan amaaaan.",5,2,belanja mudah percaya proses belanja bayar kirim barang pantau ragu belanja online mudah amaaaan,928,,0,0.7485,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'mudah', 'percaya', 'proses', 'belanja', 'bayar', 'kirim', 'barang', 'pantau', 'ragu', 'belanja', 'online', 'mudah', 'amaaaan']"
Permudah untuk pembelian dan kirimannya yahh,3,1,mudah beli kirim yahh,459,,0,0.7177,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'beli', 'kirim', 'yahh']"
Sangat mudah untuk mencari barang yg saya butuhkan harganya juga lebih murah,5,2,mudah cari barang butuh harga murah,947,,0,0.6946,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'cari', 'barang', 'butuh', 'harga', 'murah']"
Harga murah barang sesuai pesanan dan pengiriman lumayan cepat,3,1,harga murah barang sesuai pesan kirim cepat,511,,0,0.6851,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['harga', 'murah', 'barang', 'sesuai', 'pesan', 'kirim', 'cepat']"
Proses mudah dan cepat.. Di rekomendasi kan deh..,5,2,proses mudah cepat rekomendasi,822,,0,0.6805,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['proses', 'mudah', 'cepat', 'rekomendasi']"
Aplikasi belanja terbaik dan termurah ongkirnya ????????,5,2,aplikasi belanja murah ongkirnya,982,,0,0.675,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'belanja', 'murah', 'ongkir']"
Kualitasnya baik sekali walaupun blm lama gunain sdh sering order krn barang realpict dan pengiriman tepat sasaran,5,2,kualitas gunain order barang realpict kirim sasar,907,,0,0.6652,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['kualitas', 'gunain', 'order', 'barang', 'asli', 'kirim', 'sasar']"
"Barang tidak di kirim, dana tidak di kembalikan. Tokopedia lebih bagus dari bukalapak sekarang!",1,0,barang kirim dana,53,,0,0.6612,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['barang', 'kirim', 'dana']"
aku senang belanja di tokopedia spesial ramadan,1,0,belanja spesial ramadan,233,,0,0.6612,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'spesial', 'ramadan']"
Pengiriman yg selalu agak telat. Harus dikejar dulu..,3,1,kirim telat kejar,614,,0,0.6612,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['kirim', 'terlambat', 'kejar']"
"Bonusnya mantaap, makasih tingkatkan terus lazada??",5,2,bonus mantaap tingkat,950,,0,0.6612,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['bonus', 'mantaap', 'tingkat']"
Belanja online nomor 1,5,2,belanja online nomor,962,,0,0.6612,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'online', 'nomor']"
i tolong tingkatkan lagi dalam segi barang yg sangat lengkap...,5,2,tolong tingkat segi barang lengkap,964,,0,0.6583,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['tolong', 'tingkat', 'segi', 'barang', 'lengkap']"
Terima kasih lazada saya kalau belanja online menggunakan aplikasi lazada walau ada aplikasi yang lain,3,1,belanja online aplikasi aplikasi,553,,0,0.6548,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'online', 'aplikasi', 'aplikasi']"
"serba mudah, gak ribet........",5,2,serba mudah ribet,955,,0,0.6508,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['serba', 'mudah', 'ribet']"
Belnja mudh dn hemat,3,1,belnja mudh dn hemat,787,,0,0.6497,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belnja', 'mudh', 'dn', 'hemat']"
semuga pelayanan nya di tingkat kan lagi,3,1,semuga layan tingkat,544,,0,0.6475,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['semuga', 'layan', 'tingkat']"
Tingkatkan mutu dan pelayanan,5,2,tingkat mutu layan,875,,0,0.6475,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['tingkat', 'mutu', 'layan']"
"Sangat membantu dalam belanja online,terima kasih Tokopedia",5,2,bantu belanja online,888,,0,0.6308,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['bantu', 'belanja', 'online']"
Sangat membantu unruk keperluan online shop,5,2,bantu unruk online shop,975,,0,0.6308,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['bantu', 'unruk', 'online', 'shop']"
App nya ok banget cara beli barang gampang dan banyak promo....,5,2,app beli barang gampang promo,946,,0,0.6271,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'beli', 'barang', 'gampang', 'promo']"
Kenapa toko2 di lazada .Skr Banyak toko tipu2 .. pihak lazada tidak mampu seleksi toko alien lagi kah .... gak nyaman,1,0,toko skr toko tipu seleksi toko alien kah nyaman,60,,0,0.6231,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['toko', 'skr', 'toko', 'tipu', 'seleksi', 'toko', 'alien', 'kah', 'nyaman']"
banyakin promo keperluan anak yang ngab,5,2,banyakin promo anak ngab,930,,0,0.6111,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['banyakin', 'promo', 'anak', 'ngab']"
"Bagus. Smoga tetap dimiliki anak bangsa sbagian besar saham nya. Kadang ada pelapak yg kirim cepat, ada yg lambat.",5,2,smoga milik anak bangsa sbagian saham kadang kirim cepat,896,,0,0.6028,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['smoga', 'milik', 'anak', 'bangsa', 'sbagian', 'saham', 'kadang', 'kirim', 'cepat']"
Mempermudah pembelian produk .,5,2,mudah beli produk,971,,0,0.5947,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'beli', 'produk']"
Sangat membantu..mudah dan sangat terpercaya,5,2,bantu mudah percaya,853,,0,0.5944,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['bantu', 'mudah', 'percaya']"
Sampai saat ini selalu puas dengan apa yg di berikan oleh pelayanan JD.ID semogaa tetap selalu mempertahankan kebaikan yg sdh ada .. dan tingkatkan terus .,5,2,ikan layan semogaa tahan tingkat,805,,0,0.5917,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['ikan', 'layan', 'semogaa', 'tahan', 'tingkat']"
Bagus buat belanja onlen mantap pokonya,3,1,belanja onlen poko,619,,0,0.5906,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'onlen', 'poko']"
Mantap. Kusuka blanja disini. Masih ada gratis ongkir. Team supportnya benar2 cepat tanggap. Problemku selesai. Dana tetap aman. Trimakasih bukalapak. ??????????,5,2,blanja gratis ongkir team supportnya cepat tanggap problem dana aman trimakasih,985,,0,0.5861,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'gratis', 'ongkir', 'team', 'supportnya', 'cepat', 'tanggap', 'masalah', 'dana', 'aman', 'trimakasih']"
Udah hampir 1 bulan saldonya ga masuk kerekening toko penjual ini gimana saya mau jualan ga bisa belanja,1,0,saldo rekening toko jual jual belanja,81,,0,0.5826,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['saldo', 'rekening', 'toko', 'jual', 'jual', 'belanja']"
Dengan menggunakan aplikasi ini akan sngat lebih mudah lagi kita untuk belanja online nya.,5,2,aplikasi sngat mudah belanja online,897,,0,0.5772,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'sngat', 'mudah', 'belanja', 'online']"
Sering2 beri gratis ongkir ya dan harga bersaing murah,5,2,gratis ongkir harga saing murah,845,,0,0.5595,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['gratis', 'ongkir', 'harga', 'saing', 'murah']"
Deploper tolong perbaiki lg .segi pasilitas bonus koin saya berbelanja menggunakan koin dan bonus harga tidak berkurang malah naik,1,0,deploper tolong lg segi pasilitas bonus koin belanja koin bonus harga,40,,0,0.5479,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['deploper', 'tolong', 'lagi', 'segi', 'pasilitas', 'bonus', 'koin', 'belanja', 'koin', 'bonus', 'harga']"
Selama blanja online di shopee Alhamdulillah lancar ada sedikit kendala tp terselesaikan dg baik pokoknya seneng deh olshop di shopee,5,2,blanja online lancar kendala neng olshop,935,,0,0.5334,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'online', 'lancar', 'kendala', 'neng', 'olshop']"
