review,rating,sentiment,review_processed,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
Pret Klo ada barang return shope ga mau balikin,1,0,pret barang return shope balikin,10,3.0,0.5237,"iklan, unduh, muncul, ganggu, pulsa, maju, later, kemarin, melulu, ulas","['pret', 'barang', 'return', 'shope', 'balik']"
"Barang saya blm d kirim2 pdhal sudah sebulan lebih sy order. Sy sudah komplain ktny mau d refund, tp smp skrg blm ada konfirmasi lg.",1,0,barang kirim pdhal order komplain ktny refund smp skrg konfirmasi lg,11,0.0,0.4435,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['barang', 'kirim', 'pdhal', 'order', 'komplain', 'katanya', 'refund', 'smp', 'sekarang', 'konfirmasi', 'lagi']"
woy .ini kenapa barang belum sampe tapi udah dikolom sudah diterima ? yang bener aja woyy.saya ga nerima sama sekali. niat jualan nda sih ? olshop macam apa ini. saya udah bayar woy. makan duit haram klean. emang ga seberapa tapi dimohon itikad baiknyaa .,1,0,barang sampe kolom bener woyy nerima niat jual olshop bayar makan duit haram klean itikad baiknyaa,12,4.0,0.5177,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['barang', 'sampai', 'kolom', 'benar', 'woyy', 'nerima', 'niat', 'jual', 'olshop', 'bayar', 'makan', 'duit', 'haram', 'klean', 'itikad', 'baiknyaa']"
"kecewa udah cpek"" bayar di alfamart eeeh tb"" pesanan di tolak sistem,kan dak jls",1,0,cpek bayar eeeh tb pesan tolak sistem dak jls,13,0.0,0.6872,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['cpek', 'bayar', 'eeeh', 'tb', 'pesan', 'tolak', 'sistem', 'dak', 'jls']"
"Untuk sekarang ini gratis ongkir nya ga berlaku atau sama aja bo'ong,klo pembayaran menggunakan payleater,s&k juga sama aja ,vocher gratis ongkir ga berlaku klo pake payleater....,shoopie ga kaya sblm nya aturan nya udah jelek sekarang",1,0,gratis ongkir bo ong bayar payleater vocher gratis ongkir pake payleater shoopie kaya sblm atur,14,4.0,0.3586,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['gratis', 'ongkir', 'bo', 'ong', 'bayar', 'payleater', 'vocher', 'gratis', 'ongkir', 'pakai', 'payleater', 'shoopie', 'kaya', 'sblm', 'atur']"
"Kecewa dgn buka lapak,,, Beli barang,barang belum di terima tapi di pembelian barang sudah sampai,,, di komplain ga ada hasil,malah suruh tlp sendiri ke pihak kurir padahal kan tugas penyedia layanan untuk mmpertanyaka status barang di kurir,,, Masa ngusut barang di kurir ampe berhari2 ga tau barang di mana,kurir ada kantor ny ada data,kalo klaim kurir udah di berikan,,, mana bukti tanda terima dan tanda kalo pihak kurir menelpon atau mnginfokan ke pemesan bahwa barang datang.",1,0,beli barang barang beli barang komplain hasil suruh tlp kurir tugas sedia layan mmpertanyaka status barang kurir ngusut barang kurir ampe tau barang kurir kantor ny data klaim kurir ikan bukti tanda tanda kurir telpon mnginfokan mes barang,15,0.0,0.7111,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['beli', 'barang', 'barang', 'beli', 'barang', 'komplain', 'hasil', 'suruh', 'telepon', 'kurir', 'tugas', 'sedia', 'layan', 'mmpertanyaka', 'status', 'barang', 'kurir', 'ngusut', 'barang', 'kurir', 'ampe', 'tahu', 'barang', 'kurir', 'kantor', 'ny', 'data', 'klaim', 'kurir', 'ikan', 'bukti', 'tanda', 'tanda', 'kurir', 'telpon', 'mnginfokan', 'mes', 'barang']"
"Udah daftar, bisa log in. Input alamat, provinsinya tiap di klik tulisanya error jaringan. Padahal full signal. Payah, Benci aplikasi ini",1,0,daftar log input alamat provinsi klik tulisanya error jaring full signal benci aplikasi,16,0.0,0.6431,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['daftar', 'log', 'input', 'alamat', 'provinsi', 'klik', 'tulisanya', 'error', 'jaring', 'full', 'signal', 'benci', 'aplikasi']"
"Banyak penjual yg hoax, admin mohon diperhatikan maaf uninstall",1,0,jual hoax admin perhati maaf uninstall,17,4.0,0.7217,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['jual', 'hoax', 'admin', 'perhati', 'maaf', 'uninstall']"
banyak drama...ga sesuai..event .flashle.ga sesuai..gratis ongkir cuman bahasa marketing.knytaan pake shpe pay ttep aja bayar ongkir..,1,0,drama sesuai event flashle sesuai gratis ongkir cuman bahasa marketing knytaan pake shpe pay bayar ongkir,18,0.0,0.4392,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['drama', 'sesuai', 'event', 'flashle', 'sesuai', 'gratis', 'ongkir', 'cuman', 'bahasa', 'marketing', 'knytaan', 'pakai', 'shpe', 'bayar', 'bayar', 'ongkir']"
Saya agak merasa kecewa dengan voucher gratis ongkir pengguna baru... Padahal saya udah punya 3 akun dan setiap jadi pengguna baru kalo pakai voucher gratis ongkir selalu terpotong semua ongkirnya... Tp kok sekarang saya buat akun baru . Saya coba checkout kepotongnya cuma 10rb ongkirnya??? Saya kecewa min,2,0,voucher gratis ongkir akun pakai voucher gratis ongkir potong ongkirnya akun checkout potong rb ongkirnya,19,0.0,0.3333,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['voucher', 'gratis', 'ongkir', 'akun', 'pakai', 'voucher', 'gratis', 'ongkir', 'potong', 'ongkir', 'akun', 'checkout', 'potong', 'ribu', 'ongkir']"
Berkali2 sy download tp tdk bs terinstal. Pdhl sy mau beli pulsa pake shopeepay,1,0,download terinstal pdhl beli pulsa pake shopeepay,20,2.0,0.3042,"sukses, proses, trimakasih, smoga, beli, dn, bnget, alam, pakek, so","['unduh', 'terinstal', 'pdhl', 'beli', 'pulsa', 'pakai', 'shopeepay']"
Saya suka bngt belanja d lazada..kurirnya ramah....brng dtng tepat waktu ..kmsn rapi,1,0,belanja kurir ramah brng dtng kmsn rapi,21,0.0,0.9149,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['belanja', 'kurir', 'ramah', 'brng', 'dtng', 'kmsn', 'rapi']"
IT nya parah...kerjasama nya dgn costumer ga baik..janji 3hari utk complain tp nelp berkali kali tetap ga ada solusi,1,0,it kerjasama costumer janji utk complain nelp solusi,22,0.0,0.5357,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['it', 'kerjasama', 'costumer', 'janji', 'untuk', 'complain', 'nelp', 'solusi']"
"Saya ralat jadi 1 bintang, maksud hati pesan untuk kado anakku saya pilih pengiriman paling cepat, eh sampai hari ini sudah 4 hari ga nyampe nyampe, malah tiba2 pesanan sudah selesai padahal barang belum nyampe, kecewa, padahal saya baru seneng pake tokopedia karna cashback nya, kalo udah gini entah lah pake lagi atau ngga,",1,0,ralat bintang hati pesan kado anak pilih kirim cepat nyampe nyampe pesan barang nyampe neng pake cashback gin pake,23,0.0,0.44,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['ralat', 'bintang', 'hati', 'pesan', 'kado', 'anak', 'pilih', 'kirim', 'cepat', 'nyampe', 'nyampe', 'pesan', 'barang', 'nyampe', 'neng', 'pakai', 'cashback', 'gin', 'pakai']"
Ilangin banner popup kotak kejutan di UI nya! Ngeganggu tau! Jelek!,1,0,ilangin banner popup kotak kejut ui ngeganggu tau,24,0.0,0.8148,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['ilangin', 'banner', 'popup', 'kotak', 'kejut', 'ui', 'ngeganggu', 'tahu']"
Penbohong masa belum sampai 2 detik udah naik harganya lagi,1,0,penbohong detik harga,25,2.0,0.7929,"sukses, proses, trimakasih, smoga, beli, dn, bnget, alam, pakek, so","['penbohong', 'detik', 'harga']"
Maap y kak aku kasih bintang 2 karena Shopee harus di benerin bug nya aku terkena bug nya terus ga bisa belanja lagi di Shopee mohon maaf yaaa ????thx,2,0,maap bintang benerin bug bug belanja maaf yaaa,26,0.0,0.7033,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['maap', 'bintang', 'benerin', 'bug', 'bug', 'belanja', 'maaf', 'yaaa']"
"Lemot banget sih aplikasinya, suka ngefreeze padahal sinyal storage aman.. huh",1,0,lot aplikasi ngefreeze sinyal storage aman huh,27,2.0,0.4436,"sukses, proses, trimakasih, smoga, beli, dn, bnget, alam, pakek, so","['lemot', 'aplikasi', 'ngefreeze', 'sinyal', 'storage', 'aman', 'huh']"
"Maaf dana saya kok tidak dikembalikan ya?! 143k total belanja 188k lalu saya cancel dan yang dikembalikan hanya 45k saja, yang 143k blm dikembalikan, tetapi di sistem ada keterangan pengembalian dana berhasil, saya coba hubungi CS no respon?! Anda kembalikan kemana dana saya?",1,0,maaf dana total belanja cancel sistem terang dana hasil hubung cs no respon dana,28,0.0,0.6594,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['maaf', 'dana', 'total', 'belanja', 'cancel', 'sistem', 'terang', 'dana', 'hasil', 'hubung', 'customer service', 'no', 'respon', 'dana']"
"Bertahun tahun pake buka lapak pelayanannya bagus ,sekarang malah terlalu melingdungi pelapak, penilaian jelek ke pelapak pun akan di hapus oleh pihak BL, jadi seolah semuanya bagus dari pelapaknya hingga pemikiran orang yg belanja di BL mungkin penyedia layanan belanja online dsni bagus juga,",1,0,pake layan melingdungi nilai hapus bl olah pikir belanja bl sedia layan belanja online dsni,29,4.0,0.4713,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['pakai', 'layan', 'melingdungi', 'nilai', 'hapus', 'beli', 'olah', 'pikir', 'belanja', 'beli', 'sedia', 'layan', 'belanja', 'online', 'dsni']"
"Lazada marketplace gk jelas, pengiriman dalam aplikasinya tdk jelas, membagongkan.",1,0,marketplace kirim aplikasi bagong,30,0.0,0.6666,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['marketplace', 'kirim', 'aplikasi', 'bagong']"
Payah susah melakukan pembayaran Dengan menggunakan saldo di tokped,1,0,susah bayar saldo,31,0.0,0.5837,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['susah', 'bayar', 'saldo']"
Bisa isi saldo gak bisa buat pesen barang gimana sih eror eror mulu,1,0,isi saldo sen barang eror eror mulu,32,0.0,0.4166,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['isi', 'saldo', 'sen', 'barang', 'eror', 'eror', 'melulu']"
"Sumpah kecewa banget. Beli tv aoyama di melalui jd.id ditoko Mega Elektronik n Furnitur. Dikirimnya barang bekas. Ketika dicoba tv berbau angus, layar tv ada merah merahnya dan bergaris garis,timbul suara nut nuuut dan samping tv ada celahnya. Kondisi kardus juga seperti barang bekas. Heran ajah kenapa seller seperti ini bisa lolos di jd. Id. Semoga ajah barang bisa di refund. Karna rugi juga. Biasanya beli di market placr lain selalu bagus. Hati hati yang mau belanja elektronik.jgn ditoko tsb..",2,0,beli tv aoyama toko mega elektronik furnitur kirim barang bekas tv bau angus layar tv merah merah gar garis timbul suara nut nuuut samping tv celah kondisi kardus barang bekas heran seller lolos barang refund rugi beli market placr hati hati belanja elektronik jgn toko tsb,33,0.0,0.3659,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['beli', 'tv', 'aoyama', 'toko', 'mega', 'elektronik', 'furnitur', 'kirim', 'barang', 'bekas', 'tv', 'bau', 'angus', 'layar', 'tv', 'merah', 'merah', 'gar', 'garis', 'timbul', 'suara', 'nut', 'nuuut', 'samping', 'tv', 'celah', 'kondisi', 'kardus', 'barang', 'bekas', 'heran', 'seller', 'lolos', 'barang', 'refund', 'rugi', 'beli', 'market', 'placr', 'hati', 'hati', 'belanja', 'elektronik', 'jangan', 'toko', 'tsb']"
Kepada pihak sopi jangan iklan kan sopi di hp saya saya lagi maen jadi kalah tolol,1,0,iklan hp maen kalah,34,0.0,0.6664,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['iklan', 'handphone', 'main', 'kalah']"
"Shopee nya jelek susah dibukak aplikasinya klap klip aja Berat dikit dikit ramadan sale kalo ngak aplikasinya tertutup sendiri, mau belanja aja susah banget, merasa terganggu jadi males buka shoppe lagi kecewa banget,",1,0,susah dibukak aplikasi klap klip berat dikit dikit ramadan sale aplikasi tutup belanja susah ganggu males shoppe,35,0.0,0.7073,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['susah', 'dibukak', 'aplikasi', 'klap', 'klip', 'berat', 'dikit', 'dikit', 'ramadan', 'sale', 'aplikasi', 'tutup', 'belanja', 'susah', 'ganggu', 'males', 'shoppe']"
di shopee barangnya pada mahal semua,1,0,barang mahal,36,0.0,0.7776,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['barang', 'mahal']"
JGN IKLAN MULU AJG,1,0,jgn iklan mulu,37,0.0,0.3332,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['jangan', 'iklan', 'melulu']"
Tolong dunk di tokopedia bisa pilih jasa kirimm.....di toko shope bs pilih jasa kirim..ini di toopedia knp rata2 pengiriman di oper ke anteraja ya??..lelet bgt kirimny ..masa iya jkt jkt 3 hari si,2,0,tolong pilih jasa kirimm toko shope pilih jasa kirim toopedia kirim oper anteraja lelet kirimny jkt jkt,38,0.0,0.5488,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['tolong', 'pilih', 'jasa', 'kirimm', 'toko', 'shope', 'pilih', 'jasa', 'kirim', 'toopedia', 'kirim', 'oper', 'anteraja', 'lambat', 'kirimny', 'jakarta', 'jakarta']"
Kerja tim penilai produk tidak profesional. Diskriminatif. Sangat mengecewakan,1,0,tim nilai produk profesional diskriminatif,39,4.0,0.5169,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['tim', 'nilai', 'produk', 'profesional', 'diskriminatif']"
Deploper tolong perbaiki lg .segi pasilitas bonus koin saya berbelanja menggunakan koin dan bonus harga tidak berkurang malah naik,1,0,deploper tolong lg segi pasilitas bonus koin belanja koin bonus harga,40,0.0,0.4762,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['deploper', 'tolong', 'lagi', 'segi', 'pasilitas', 'bonus', 'koin', 'belanja', 'koin', 'bonus', 'harga']"
Hapus aja lah app ini dari playstore.,1,0,hapus app playstore,41,0.0,0.6059,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['hapus', 'aplikasi', 'playstore']"
"Kenapa ya, sertifikat saya di skill akademi yg saya beli dari sini gak muncul di prakerja saya",2,0,sertifikat skill akademi beli muncul,42,1.0,0.5383,"belanja, aplikasi, mudah, bantu, online, aman, rumah, percaya, shoope, butuh","['sertifikat', 'skill', 'akademi', 'beli', 'muncul']"
"Aneh saya udah 2 kali pesan barang, tapi pengiriman barang gagal, Tolong dan mohon di perbaiki semuanya, kecewa bangett saya, Berhari hari saya menunggu, sekalinya tiba bikin saya kecewa beratt",1,0,aneh pesan barang kirim barang gagal tolong bangett tunggu bikin beratt,43,0.0,0.4444,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['aneh', 'pesan', 'barang', 'kirim', 'barang', 'gagal', 'tolong', 'bangett', 'tunggu', 'bikin', 'beratt']"
Banyak toko penipu.. harus nya system nya samain kaya shopie.. bisa dikembalikan barang nya.. trus aplikasi ni kalo ga di update malah masuk ke iG iklan nya tanpa da pemberitahuan windows kttup iklan bagaikan ikan lapar nyamberin trus ??,1,0,toko tipu system samain kaya shopie barang aplikasi update ig iklan da pemberitahuan windows kttup iklan ikan lapar nyamberin,44,0.0,0.6045,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['toko', 'tipu', 'sistem', 'samain', 'kaya', 'shopie', 'barang', 'aplikasi', 'update', 'instagram', 'iklan', 'da', 'pemberitahuan', 'windows', 'kttup', 'iklan', 'ikan', 'lapar', 'nyamberin']"
"Kepada pihak Tokopedia saya mau nanya nih, Saya tadi kan jam 6 lewat ada SMS masuk dari pihak Tokopedia katanya saya mendapatkan hadiah sebesar 15 juta dengan syarat saya harus isi pulsa Rp300.000 dan harus fotokopi nomor rekening saya dan Apa betul dari pihak Tokopedia kah",1,0,nanya jam sms hadiah juta syarat isi pulsa rp fotokopi nomor rekening kah,45,0.0,0.4658,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['bertanya', 'jam', 'sms', 'hadiah', 'juta', 'syarat', 'isi', 'pulsa', 'rp', 'fotokopi', 'nomor', 'rekening', 'kah']"
"Spaylaterku tak bisa di gunakan, pdhal smua sudah lunas & bayar tepat wktu ?? Menjengkel kan ??",1,0,spaylaterku pdhal lunas bayar wktu jengkel,46,4.0,0.4456,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['spaylaterku', 'pdhal', 'lunas', 'bayar', 'wktu', 'jengkel']"
ini lazada ada masalah apa ya? udah 2 kali aku dikirim paket yang aku ga pesen. mana sistem cod. aplikasinya aja udah di hapus. tolong ya pihak lazada,1,0,kirim paket sen sistem cod aplikasi hapus tolong,47,0.0,0.4471,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['kirim', 'paket', 'sen', 'sistem', 'cod', 'aplikasi', 'hapus', 'tolong']"
Sy sdah donlod dan ajk 1 org .orgnya sdh donlod tp hadiah gk bs d tarik .hufffff...,1,0,sdah donlod ajk org orgnya donlod hadiah tarik hufffff,48,0.0,0.7333,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['sdah', 'donlod', 'ajk', 'orang', 'orgnya', 'donlod', 'hadiah', 'tarik', 'hufffff']"
Saya nggak ada pesan barang malah dikirim,1,0,pesan barang kirim,49,0.0,0.5832,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['pesan', 'barang', 'kirim']"
Aku gak bisa download karena memori penuh ??????????????????????????????????????,1,0,download memori penuh,50,0.0,0.3332,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['unduh', 'memori', 'penuh']"
Sekarang pelit gak di kasih gratis ongkir di sistem COD nya,1,0,pelit gratis ongkir sistem cod,51,4.0,0.4952,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['pelit', 'gratis', 'ongkir', 'sistem', 'cod']"
"Barang tidak di kirim, dana tidak di kembalikan. Tokopedia lebih bagus dari bukalapak sekarang!",1,0,barang kirim dana,52,0.0,0.5832,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['barang', 'kirim', 'dana']"
Aplikasinya beratbngt ga kya apk yg lain lebih ringan,2,0,aplikasi beratbngt kya apk ringan,53,0.0,0.3888,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['aplikasi', 'beratbngt', 'kya', 'aplikasi', 'ringan']"
Ternyata ngak ada solusi !!! untuk pengunaan satu akun yang digunakan untuk pembelian id yang berbeda dalam prakerja. Ya sudah saya kasih satu bintang. Nanti kalau sudah bisa diatasi saya kasih 5. Terima kasih!!!,1,0,solusi pengunaan akun beli beda bintang,54,1.0,0.5152,"belanja, aplikasi, mudah, bantu, online, aman, rumah, percaya, shoope, butuh","['solusi', 'pengunaan', 'akun', 'beli', 'beda', 'bintang']"
"Kenapa sih shopee di tempatku gapernah sampai rumah, pasti kurirnya ngajak ketemuan, jauh terus harus nunggu juga, lama-lama capek min, terus kalo gk ketemuan pasti paket di retur.",1,0,gapernah rumah kurir ngajak ketemu nunggu capek ketemu paket retur,55,0.0,0.7014,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['gapernah', 'rumah', 'kurir', 'ngajak', 'ketemu', 'tunggu', 'capek', 'ketemu', 'paket', 'retur']"
Lazada mulai banyak toko2 penipu lagi Saya 3x ketipu berturut2,1,0,toko tipu tipu,56,0.0,0.8332,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['toko', 'tipu', 'tipu']"
Abis diupdate jdi lemot buanget,1,0,abis diupdate lot buanget,57,4.0,0.5748,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['habis', 'diupdate', 'lemot', 'buanget']"
"Abis update kok lemot sihh woiii!!!!!, Ini shoppenya kok lemot sihh???!!!!!! Padahalll internet sayaa lancarr banget ga ada kendalaaa tp buka shoppe lemotnya minta ampun dan jugaaa padahal udah saya update ga makin bagus malah makin kek gini tolongg di benerinnnn secepatnyaaa!!!!!!!!!!!",1,0,abis update lot sihh shoppenya lot sihh padahalll internet sayaa lancarr kendalaaa shoppe lot ampun jugaaa update kek gin tolongg benerinnnn secepatnyaaa,58,0.0,0.3924,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['habis', 'update', 'lemot', 'sihh', 'shoppenya', 'lemot', 'sihh', 'padahalll', 'internet', 'sayaa', 'lancarr', 'kendalaaa', 'shoppe', 'lemot', 'ampun', 'jugaaa', 'update', 'seperti', 'gin', 'tolongg', 'benerinnnn', 'secepatnyaaa']"
Kenapa toko2 di lazada .Skr Banyak toko tipu2 .. pihak lazada tidak mampu seleksi toko alien lagi kah .... gak nyaman,1,0,toko skr toko tipu seleksi toko alien kah nyaman,59,0.0,0.5053,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['toko', 'skr', 'toko', 'tipu', 'seleksi', 'toko', 'alien', 'kah', 'nyaman']"
Kalau bisa perbaiki jasa pengiriman barang ko sekarang tumben2 lemot dan lambat,1,0,jasa kirim barang lot,60,2.0,0.3597,"sukses, proses, trimakasih, smoga, beli, dn, bnget, alam, pakek, so","['jasa', 'kirim', 'barang', 'lemot']"
Shope q udah 4 hari ini gk bisa dibuka katanya suruh hpus chace udah tetep ak gk bisa trys suruh uninstal juga udah tp tetep sama gk bisal blnja lihat notivikasi bisa tp yg lain gk bisa kebuka semuanya pdhl data lancar,1,0,shope suruh hpus chace tetep trys suruh uninstal tetep bisal blnja notivikasi pdhl data lancar,61,4.0,0.3875,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['shope', 'suruh', 'hapus', 'chace', 'tetep', 'trys', 'suruh', 'uninstal', 'tetep', 'bisal', 'blnja', 'notivikasi', 'pdhl', 'data', 'lancar']"
Cara pakai vocer shopee harus pakai shope pay gitu?,2,0,pakai vocer pakai shope pay,62,4.0,0.3532,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['pakai', 'voucher', 'pakai', 'shope', 'bayar']"
"tidak di jamin ori (saya perna beli memory tp br beberapa hari udah rusak) live chat jarang di balas, sekalinya di balas lama.",1,0,jamin ori perna beli memory br rusak live chat jarang balas balas,63,0.0,0.4543,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['jamin', 'asli', 'perna', 'beli', 'memory', 'baru', 'rusak', 'live', 'chat', 'jarang', 'balas', 'balas']"
"Gratis ongkir yang pake kurir anter aja ampun, butuh waktu 2 minggu",1,0,gratis ongkir pake kurir anter ampun butuh minggu,64,0.0,0.2769,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['gratis', 'ongkir', 'pakai', 'kurir', 'antar', 'ampun', 'butuh', 'minggu']"
Aku turun bintangnya soalnya VOC gak bisa dipake knpa sihh!!!,2,0,turun bintang voc dipake knpa sihh,65,1.0,0.3558,"belanja, aplikasi, mudah, bantu, online, aman, rumah, percaya, shoope, butuh","['turun', 'bintang', 'voc', 'dipake', 'kenapa', 'sihh']"
